Users: المستخدمين
User: المستخدم
Customers: الزبائن
Customer: العميل
Sales: المبيعات
Sale: بيع
Purchases: المشتريات
Purchase: شراء
Products: المنتجات
Product: المنتج
Reports: التقارير
Report: التقرير
Settings: الإعدادات
Dashboard: لوحة التحكم
View: عرض
All: الكل
Show: إظهار
List: قائمة
Backups: النسخ
Warehouse: المستودع
Inventory: المخزون
Expenses: المصروفات
Expense: صادر
Payments: المدفوعات
Payment: دفع
Cheques: الشيكات
Cheque: الشيك
Ledger: دفتر الأستاذ
Branches: الفروع
Branch: الفرع
Store: المتجر
Company: الشركة
System: النظام
Health: صحة
Alert: التنبيه
Log: سجل
Add: إضافة
New: جديد
Edit: تعديل
Delete: حذف
Save: حفظ
Cancel: إلغاء
Search: بحث
Filter: فلترة
Export: تصدير
Print: طباعة
Status: الحالة
Active: نشط
Inactive: غير نشط
Pending: معلق
Confirmed: مؤكدة
Rejected: مرفوضة
Yes: نعم
No: لا
Name: الاسم
Email: البريد الإلكتروني
Phone: الهاتف
Address: العنوان
Date: التاريخ
Amount: المبلغ
Quantity: الكمية
Price: السعر
Total: المجموع
Discount: الخصم
Tax: الضريبة
Balance: الرصيد
Code: الكود
Today: اليوم
Loading: جاري التحميل
Details: تفاصيل
Update: تحديث
Submit: إرسال
Confirm: تأكيد
Close: إغلاق
